Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Renault,Grand Scenic,,03/2008,,,"Autre, Diesel",,
BMW,116 Baureihe 1 Lim. 116i NUR FUR TEILE,,10/2004,"Couleur extérieure: Noir, Nombre de portes: 4/5",85 kW (116 Ch DIN),"Citadine, Essence, Boîte manuelle",,
Renault,Kangoo Privilege,,07/2007,"Couleur extérieure: Gris, Nombre de portes: 4/5",62 kW (84 Ch DIN),"Break, Diesel, Boîte automatique",,
Peugeot,Expert Kasten L1H1 Kasten,,04/2013,"Couleur extérieure: Blanc, Nombre de portes: 4/5",94 kW (128 Ch DIN),"Autre, Diesel, Boîte manuelle",,
Peugeot,308 SW Allure 130 PureTech EAT6 STOP & START,,05/2014,Nombre de portes: 4/5,96 kW (131 Ch DIN),"Break, Essence, Boîte automatique",,
Peugeot,308 Style 120 VTi,,12/2014,Nombre de portes: 4/5,88 kW (120 Ch DIN),"Berline, Essence, Boîte manuelle",,
Renault,Megane III Coupe Dynamique,,02/2010,"Couleur extérieure: Noir, Nombre de portes: 2/3",81 kW (110 Ch DIN),"Coupé Sport, Diesel, Boîte manuelle",,
Citroën,DS3 THP 155 SportChic,,09/2013,Nombre de portes: 2/3,115 kW (156 Ch DIN),"Citadine, Essence, Boîte manuelle",,
Peugeot,"208 STE 1,2 PUERETECH 75",,03/2022,"Couleur extérieure: Blanc, Nombre de portes: 4/5",55 kW (75 Ch DIN),"Citadine, Essence, Boîte manuelle",,
Land,Rover Range Rover Sport V6 TD SE,,05/2006,"Couleur extérieure: Noir, Nombre de portes: 4/5",140 kW (190 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Audi,Q5 3.0 TDI quattro NUR FUR TEILE,,12/2010,"Couleur extérieure: Noir, Nombre de portes: 4/5",176 kW (239 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Diesel, Boîte automatique",,
Renault,"Kangoo Maxi 1,5 dci 90",,03/2014,"Couleur extérieure: Blanc, Nombre de portes: 4/5",66 kW (90 Ch DIN),"Monospace / Ludospace, Diesel, Boîte manuelle",,
Citroën,"DS3 Cabrio 1,6 Thp 156 SportChic",,01/2013,"Couleur extérieure: Noir, Nombre de portes: 2/3",115 kW (156 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Volkswagen,"Touran Comfortline 1,6tdi 105ps DSG",,12/2012,"Couleur extérieure: Beige, Nombre de portes: 4/5",77 kW (105 Ch DIN),"Citadine, Diesel, Boîte automatique",,
Audi,A1 1.4 TFSI S-TRONIC,,02/2012,Nombre de portes: 2/3,90 kW (122 Ch DIN),"Citadine, Essence, Boîte automatique",,
Citroën,"C5 Lim. Exclusive 2,0hdi 163ps Automatik",,08/2015,"Couleur extérieure: Brun, Nombre de portes: 4/5",120 kW (163 Ch DIN),"Berline, Diesel, Boîte automatique",,
