Marque,Modèle,Année,Boîte,KM,Énergie,Code Postal,Département,Prix
Citroen,c4 picasso,02-2008,Boîte manuelle,190000,d,93250,93,1000
Renault,clio,10-2012,Boîte manuelle,131925,b,57500,57,3490
Chevrolet,aveo,01-2014,Boîte manuelle,54000,b,67520,67,5490
Peugeot,5008,02-2016,Boîte manuelle,170700,d,95880,95,7490
Peugeot,308,03-2009,Boîte manuelle,160000,d,94190,94,3990
Peugeot,e-208,04-2020,- Boîte,35000,e,54800,54,6900
Toyota,yaris,03-2011,Boîte manuelle,160000,d,59119,59,4990
Volkswagen,polo,12-2015,Boîte automatique,92000,d,62218,62,7990
Peugeot,307,06-2007,Boîte manuelle,345000,d,93220,93,990
Renault,scenic,09-2013,Boîte manuelle,138000,b,94190,94,4990
Audi,a5,05-2012,Boîte automatique,222000,d,77144,77,12990
Peugeot,208,06-2018,Boîte manuelle,93000,b,13200,13,5200
Dacia,spring,12-2023,Boîte automatique,14000,e,59110,59,10990
Jaguar,xe,11-2017,Boîte automatique,103451,d,71000,71,14990
Bmw,118,05-2009,Boîte manuelle,193000,d,63300,63,5990
Opel,crossland x,10-2019,Boîte manuelle,119054,b,75002,75,7990
Peugeot,3008,09-2019,Boîte manuelle,92397,b,33140,33,10990
Fiat,500,06-2009,Boîte manuelle,85000,b,63170,63,4990
Aixam,unknown,07-2019,Boîte automatique,33000,d,93800,93,4900
Renault,clio,04-2006,Boîte manuelle,229000,d,83170,83,2390
Peugeot,3008,12-2010,Boîte manuelle,206600,d,62230,62,3990
Nissan,note,07-2013,Boîte manuelle,132543,d,12500,12,990
Peugeot,e-208,04-2020,- Boîte,137000,e,54800,54,7900
Dacia,spring,05-2023,Boîte automatique,23606,e,83210,83,9480
Renault,modus,07-2010,Boîte manuelle,165000,d,95110,95,2990
Renault,kangoo,05-2006,Boîte manuelle,119800,d,59273,59,5500
Citroen,c5,09-2011,Boîte automatique,52800,d,93250,93,11990
Volkswagen,touareg,12-2005,Semi-automatique,251000,d,91150,91,3490
Ferrari,12 cilindri,new,Boîte automatique,100,b,83600,83,595000
Volkswagen,golf,12-2010,Boîte manuelle,114950,b,62000,62,6450
Nissan,juke,08-2011,Boîte manuelle,203800,d,06670,06,4990
Audi,a3,07-2011,Boîte manuelle,235000,d,93800,93,4990
Audi,a5,05-2017,Boîte automatique,210000,d,54700,54,18490
Volkswagen,tiguan,12-2014,Boîte manuelle,182000,d,63360,63,11900
Mitsubishi,l200,04-2015,Boîte manuelle,107000,d,94500,94,10950
Bmw,118,09-2010,Boîte manuelle,194967,d,67114,67,5490
Nissan,nv200,04-2019,Boîte automatique,167000,e,93800,93,8490
Dacia,sandero,01-2015,Boîte manuelle,93000,b,57350,57,3999
Land rover,discovery sport,07-2016,Boîte automatique,84000,d,71300,71,13750
Dacia,duster,06-2013,Boîte manuelle,0,d,93370,93,5490
Citroen,c4,02-2008,Boîte manuelle,125560,d,60870,60,5490
Jaguar,xe,02-2016,Boîte automatique,138252,d,72650,72,13990
Dacia,sandero,04-2016,Boîte manuelle,110000,d,33700,33,7990
Peugeot,508,03-2013,Boîte automatique,236000,d,62218,62,4490
Ford,edge,01-2017,Boîte automatique,166000,d,57500,57,15990
Ford,fiesta,12-2015,Boîte manuelle,116000,b,26760,26,4990
Audi,a5,03-2013,Boîte manuelle,175000,d,66000,66,12990
Volkswagen,passat cc,06-2011,Boîte manuelle,220422,d,89470,89,6990
Seat,alhambra,06-2004,Boîte manuelle,173916,d,57270,57,5999
Lancia,phedra,05-2009,Boîte automatique,104658,d,57270,57,9999
Citroen,c4 picasso,06-2008,Boîte manuelle,255036,d,69400,69,2590
Dacia,sandero,04-2012,Boîte manuelle,168500,d,76700,76,4990
Porsche,cayenne,10-2010,Boîte automatique,178000,b,49130,49,17990
Renault,talisman,05-2016,Boîte manuelle,139000,d,63300,63,10990
Mitsubishi,pajero,09-2008,Boîte automatique,145400,d,59243,59,8000
Volkswagen,polo,10-2010,Boîte manuelle,151000,d,67520,67,6490
Citroen,ds3,01-2013,Boîte manuelle,140000,b,38650,38,4500
Toyota,auris,04-2010,Boîte manuelle,113636,b,59930,59,5990
Peugeot,306,03-2001,Boîte manuelle,269525,d,67320,67,2790
Ds automobiles,ds 5,03-2016,Boîte automatique,137000,b,21000,21,8990
Peugeot,2008,10-2020,Boîte manuelle,95000,b,06276,06,10890
Mercedes-benz,a 180,10-2018,Boîte automatique,115168,d,72650,72,20996
Peugeot,2008,11-2018,Boîte manuelle,198221,d,92140,92,7490
Audi,a3,12-2015,Boîte manuelle,193900,d,59223,59,10990
Peugeot,5008,11-2015,Boîte automatique,155000,d,91150,91,7990
Renault,zoe,12-2018,Boîte automatique,54881,e,28630,28,4990
Toyota,rav 4,10-2014,Boîte automatique,154000,d,95200,95,12990
Peugeot,2008,04-2016,Boîte manuelle,94555,b,75002,75,6990
Audi,a1,02-2014,Boîte manuelle,165000,d,13200,13,8990
Peugeot,207,06-2011,Boîte manuelle,152000,d,95110,95,3990
Porsche,cayman,10-2015,Boîte manuelle,54900,b,35310,35,79900
Dacia,sandero,03-2016,Boîte manuelle,128451,b,38000,38,4990
Fiat,sedici,06-2010,Boîte manuelle,32900,d,17200,17,8990
Peugeot,2008,01-2016,Boîte automatique,95500,b,88200,88,7490
Volkswagen,tiguan,11-2016,Boîte manuelle,187000,d,62170,62,12980
Peugeot,2008,05-2021,Boîte automatique,76860,b,62136,62,13990
